Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_Per_Unit,Total_Amount
TXN0115,2023-03-29,CUST445,Female,53,Beauty,1,22,22
TXN0116,2023-03-27,CUST349,Female,57,Books,2,27,54
TXN0117,2023-02-24,CUST631,Male,56,Electronics,1,894,894
TXN0118,2023-04-14,CUST909,Male,26,Sports,4,101,404
TXN0119,2024-01-25,CUST464,Male,38,Books,3,38,114
TXN0120,2022-06-02,CUST363,Male,64,Sports,4,63,252
TXN0121,2023-09-09,CUST344,Female,42,Kitchen_Utensils,5,75,375
TXN0122,2023-06-23,CUST842,Female,47,Beauty,5,55,275
TXN0123,2023-07-27,CUST119,Female,60,Clothing_Women,4,58,232
TXN0124,2022-04-24,CUST258,Female,37,Clothing_Women,5,85,425
TXN0125,2023-05-04,CUST234,Female,62,Kitchen_Utensils,1,82,82
TXN0126,2023-12-10,CUST189,Male,63,Books,5,37,185
TXN0127,2023-05-07,CUST507,Female,37,Sports,1,131,131
TXN0128,2022-11-14,CUST279,Male,50,Beauty,1,20,20
TXN0129,2022-10-13,CUST488,Female,51,Books,5,19,95
TXN0130,2023-09-03,CUST642,Female,54,Home_Decor,1,51,51
TXN0131,2023-10-26,CUST103,Female,59,Beauty,3,12,36
TXN0132,2022-12-16,CUST416,Male,53,Sports,2,56,112
TXN0133,2022-02-05,CUST729,Male,29,Kitchen_Utensils,5,78,390
TXN0134,2022-03-09,CUST834,Female,56,Books,5,43,215
TXN0135,2024-02-21,CUST225,Female,57,Beauty,4,62,248
TXN0136,2023-12-29,CUST321,Female,26,Kitchen_Utensils,2,35,70
TXN0137,2023-01-24,CUST295,Female,27,Beauty,4,34,136
TXN0138,2023-10-07,CUST210,Male,37,Clothing_Women,5,28,140
TXN0139,2022-10-22,CUST181,Male,19,Beauty,3,69,207
TXN0140,2023-07-02,CUST247,Male,41,Clothing_Women,3,97,291
TXN0141,2023-05-13,CUST068,Male,25,Sports,4,53,212
TXN0142,2022-10-09,CUST864,Female,51,Sports,1,137,137
TXN0143,2023-05-24,CUST195,Male,52,Electronics,2,880,1760
TXN0144,2024-05-25,CUST794,Female,60,Beauty,1,62,62
TXN0145,2023-07-13,CUST852,Female,41,Beauty,4,33,132
TXN0146,2023-11-03,CUST776,Male,35,Electronics,3,807,2421
TXN0147,2022-03-15,CUST471,Male,32,Sports,5,111,555
TXN0148,2023-05-05,CUST318,Male,61,Sports,2,56,112
TXN0149,2022-08-01,CUST991,Female,34,Home_Decor,3,63,189
TXN0150,2022-05-20,CUST607,Male,54,Home_Decor,1,22,22
TXN0151,2022-03-12,CUST461,Female,18,Clothing_Women,4,48,192
TXN0152,2023-07-20,CUST922,Male,41,Clothing_Men,2,20,40
TXN0153,2024-01-05,CUST720,Female,56,Electronics,2,778,1556
TXN0154,2024-05-04,CUST343,Male,21,Electronics,2,814,1628
TXN0155,2024-05-24,CUST515,Female,49,Kitchen_Utensils,3,17,51
TXN0156,2024-04-02,CUST075,Male,61,Kitchen_Utensils,1,75,75
TXN0157,2023-06-06,CUST678,Female,60,Beauty,3,13,39
TXN0158,2024-01-03,CUST928,Female,35,Beauty,5,17,85
TXN0159,2022-03-03,CUST517,Female,47,Clothing_Women,5,57,285
TXN0160,2024-04-01,CUST453,Female,26,Books,4,47,188
TXN0161,2024-03-29,CUST917,Female,57,Beauty,4,34,136
TXN0162,2024-01-12,CUST041,Male,34,Clothing_Men,3,75,225
TXN0163,2022-06-28,CUST598,Male,37,Sports,2,33,66
TXN0164,2023-12-20,CUST985,Female,19,Beauty,3,47,141
TXN0165,2023-06-29,CUST445,Female,53,Clothing_Women,2,23,46
TXN0166,2023-12-24,CUST349,Female,57,Clothing_Women,2,94,188
TXN0167,2023-11-16,CUST631,Male,56,Clothing_Men,4,80,320
TXN0168,2023-02-13,CUST909,Male,26,Books,1,49,49
TXN0169,2022-01-02,CUST464,Male,38,Clothing_Men,1,81,81
TXN0170,2023-01-01,CUST363,Male,64,Home_Decor,3,76,228
TXN0171,2023-04-18,CUST344,Female,42,Home_Decor,5,62,310
TXN0172,2023-02-27,CUST842,Female,47,Home_Decor,4,24,96
TXN0173,2023-08-03,CUST119,Female,60,Home_Decor,3,41,123
TXN0174,2023-10-02,CUST258,Female,37,Home_Decor,1,86,86
TXN0175,2022-08-16,CUST234,Female,62,Books,1,35,35
TXN0176,2024-04-13,CUST189,Male,63,Electronics,3,391,1173
TXN0177,2022-12-01,CUST507,Female,37,Sports,4,57,228
TXN0178,2023-02-20,CUST279,Male,50,Beauty,3,18,54
TXN0179,2022-08-02,CUST488,Female,51,Clothing_Men,4,77,308
TXN0180,2023-05-24,CUST642,Female,54,Electronics,5,804,4020
TXN0181,2023-05-03,CUST103,Female,59,Beauty,5,10,50
TXN0182,2022-02-20,CUST416,Male,53,Kitchen_Utensils,1,44,44
TXN0183,2022-09-07,CUST729,Male,29,Kitchen_Utensils,2,22,44
TXN0184,2023-07-24,CUST834,Female,56,Clothing_Women,5,31,155
TXN0185,2024-02-07,CUST225,Female,57,Home_Decor,2,89,178
TXN0186,2023-03-16,CUST321,Female,26,Electronics,2,135,270
TXN0187,2022-09-24,CUST295,Female,27,Clothing_Women,5,21,105
TXN0188,2022-12-16,CUST210,Male,37,Books,2,42,84
TXN0189,2022-12-11,CUST181,Male,19,Clothing_Men,3,75,225
TXN0190,2022-07-15,CUST247,Male,41,Clothing_Women,5,33,165
TXN0191,2023-07-07,CUST068,Male,25,Clothing_Men,2,58,116
TXN0192,2024-05-19,CUST864,Female,51,Books,3,13,39
TXN0193,2023-03-05,CUST195,Male,52,Electronics,4,768,3072
TXN0194,2022-09-20,CUST794,Female,60,Electronics,3,106,318
TXN0195,2023-07-22,CUST852,Female,41,Home_Decor,5,111,555
TXN0196,2022-02-16,CUST776,Male,35,Electronics,5,544,2720
TXN0197,2022-09-18,CUST471,Male,32,Electronics,3,164,492
TXN0198,2022-10-21,CUST318,Male,61,Clothing_Men,5,54,270
TXN0199,2023-04-14,CUST991,Female,34,Clothing_Women,1,98,98
TXN0200,2022-07-25,CUST607,Male,54,Clothing_Men,4,28,112
TXN0201,2022-07-23,CUST461,Female,18,Kitchen_Utensils,5,82,410
TXN0202,2022-09-19,CUST922,Male,41,Books,4,42,168
TXN0203,2022-08-15,CUST720,Female,56,Home_Decor,3,109,327
TXN0204,2023-04-07,CUST343,Male,21,Kitchen_Utensils,1,19,19
TXN0205,2023-01-16,CUST515,Female,49,Sports,3,178,534
TXN0206,2022-12-13,CUST075,Male,61,Home_Decor,5,85,425
TXN0207,2023-11-03,CUST678,Female,60,Clothing_Women,4,47,188
TXN0208,2022-12-06,CUST928,Female,35,Clothing_Men,4,64,256
TXN0209,2023-03-20,CUST517,Female,47,Beauty,2,15,30
TXN0210,2022-10-23,CUST453,Female,26,Home_Decor,4,70,280
TXN0211,2022-02-25,CUST917,Female,57,Sports,1,42,42
TXN0212,2023-11-06,CUST041,Male,34,Books,5,36,180
TXN0213,2022-12-07,CUST598,Male,37,Beauty,5,57,285
TXN0214,2022-06-04,CUST985,Female,19,Kitchen_Utensils,4,69,276
TXN0215,2023-09-05,CUST445,Female,53,Home_Decor,3,43,129
TXN0216,2023-05-10,CUST349,Female,57,Kitchen_Utensils,1,32,32
TXN0217,2022-06-14,CUST631,Male,56,Books,4,13,52
TXN0218,2024-01-09,CUST909,Male,26,Home_Decor,3,32,96
TXN0219,2024-03-03,CUST464,Male,38,Electronics,1,810,810
TXN0220,2022-02-25,CUST363,Male,64,Kitchen_Utensils,3,25,75
TXN0221,2022-01-02,CUST344,Female,42,Beauty,5,16,80
TXN0222,2023-05-02,CUST842,Female,47,Kitchen_Utensils,5,75,375
TXN0223,2022-11-12,CUST119,Female,60,Electronics,3,964,2892
TXN0224,2022-05-05,CUST258,Female,37,Beauty,1,66,66
TXN0225,2023-04-04,CUST234,Female,62,Beauty,2,53,106
TXN0226,2022-07-31,CUST189,Male,63,Sports,2,64,128
TXN0227,2023-01-12,CUST507,Female,37,Beauty,5,56,280
TXN0228,2024-03-15,CUST279,Male,50,Clothing_Men,5,45,225
TXN0229,2023-01-12,CUST488,Female,51,Clothing_Women,2,31,62
TXN0230,2024-01-03,CUST642,Female,54,Books,5,16,80
TXN0231,2023-05-07,CUST103,Female,59,Beauty,2,19,38
TXN0232,2022-05-19,CUST416,Male,53,Sports,2,162,324
TXN0233,2022-03-05,CUST729,Male,29,Sports,1,114,114
TXN0234,2024-01-12,CUST834,Female,56,Beauty,2,29,58
TXN0235,2022-04-21,CUST225,Female,57,Beauty,4,43,172
TXN0236,2024-04-25,CUST321,Female,26,Clothing_Women,2,62,124
TXN0237,2023-01-26,CUST295,Female,27,Kitchen_Utensils,3,66,198
TXN0238,2022-05-07,CUST210,Male,37,Sports,2,176,352
TXN0239,2023-06-16,CUST181,Male,19,Home_Decor,2,57,114
TXN0240,2022-07-27,CUST247,Male,41,Beauty,3,49,147
TXN0241,2023-01-19,CUST068,Male,25,Books,4,30,120
TXN0242,2022-09-19,CUST864,Female,51,Electronics,5,798,3990
TXN0243,2022-12-18,CUST195,Male,52,Clothing_Men,1,97,97
TXN0244,2022-03-10,CUST794,Female,60,Home_Decor,2,45,90
TXN0245,2022-02-09,CUST852,Female,41,Books,1,11,11
TXN0246,2024-06-06,CUST776,Male,35,Electronics,3,776,2328
TXN0247,2023-12-12,CUST471,Male,32,Beauty,4,58,232
TXN0248,2022-05-20,CUST318,Male,61,Kitchen_Utensils,4,77,308
TXN0249,2024-04-14,CUST991,Female,34,Home_Decor,5,98,490
TXN0250,2022-01-05,CUST607,Male,54,Clothing_Men,5,87,435
TXN0251,2023-01-13,CUST461,Female,18,Kitchen_Utensils,5,67,335
TXN0252,2022-05-15,CUST922,Male,41,Beauty,4,29,116
TXN0253,2022-10-25,CUST720,Female,56,Home_Decor,5,49,245
TXN0254,2022-01-06,CUST343,Male,21,Electronics,2,631,1262
TXN0255,2024-05-08,CUST515,Female,49,Home_Decor,1,33,33
TXN0256,2022-10-02,CUST075,Male,61,Books,5,48,240
TXN0257,2023-04-22,CUST678,Female,60,Books,4,45,180
TXN0258,2023-05-15,CUST928,Female,35,Clothing_Women,1,51,51
TXN0259,2023-07-14,CUST517,Female,47,Beauty,1,62,62
TXN0260,2024-06-08,CUST453,Female,26,Beauty,4,18,72
TXN0261,2023-03-19,CUST917,Female,57,Books,5,49,245
TXN0262,2023-03-24,CUST041,Male,34,Clothing_Men,3,21,63
TXN0263,2022-06-26,CUST598,Male,37,Home_Decor,5,29,145
TXN0264,2024-04-26,CUST985,Female,19,Kitchen_Utensils,2,25,50
TXN0265,2024-02-22,CUST445,Female,53,Books,2,42,84
TXN0266,2023-10-28,CUST349,Female,57,Books,1,11,11
TXN0267,2023-09-19,CUST631,Male,56,Kitchen_Utensils,5,79,395
TXN0268,2023-02-10,CUST909,Male,26,Clothing_Men,1,32,32
TXN0269,2022-06-03,CUST464,Male,38,Clothing_Men,1,79,79
TXN0270,2023-07-12,CUST363,Male,64,Sports,3,70,210
TXN0271,2024-02-05,CUST344,Female,42,Beauty,4,37,148
TXN0272,2023-06-27,CUST842,Female,47,Books,3,41,123
TXN0273,2023-03-19,CUST119,Female,60,Beauty,5,41,205
TXN0274,2024-03-17,CUST258,Female,37,Kitchen_Utensils,4,74,296
TXN0275,2023-05-21,CUST234,Female,62,Beauty,4,15,60
TXN0276,2024-05-02,CUST189,Male,63,Kitchen_Utensils,2,58,116
TXN0277,2024-03-02,CUST507,Female,37,Beauty,5,26,130
TXN0278,2023-06-18,CUST279,Male,50,Books,3,32,96
TXN0279,2022-11-14,CUST488,Female,51,Beauty,2,47,94
TXN0280,2023-09-21,CUST642,Female,54,Sports,1,164,164
TXN0281,2023-03-09,CUST103,Female,59,Books,5,36,180
TXN0282,2022-02-12,CUST416,Male,53,Kitchen_Utensils,1,21,21
TXN0283,2022-01-30,CUST729,Male,29,Sports,4,71,284
TXN0284,2023-02-10,CUST834,Female,56,Beauty,2,65,130
TXN0285,2022-08-11,CUST225,Female,57,Clothing_Men,3,79,237
TXN0286,2022-06-05,CUST321,Female,26,Home_Decor,4,104,416
TXN0287,2024-01-02,CUST295,Female,27,Beauty,3,44,132
TXN0288,2022-08-07,CUST210,Male,37,Kitchen_Utensils,5,18,90
TXN0289,2023-03-20,CUST181,Male,19,Home_Decor,4,22,88
TXN0290,2023-08-21,CUST247,Male,41,Sports,2,144,288
TXN0291,2022-10-24,CUST068,Male,25,Clothing_Men,5,84,420
TXN0292,2023-01-16,CUST864,Female,51,Kitchen_Utensils,1,81,81
TXN0293,2023-04-12,CUST195,Male,52,Clothing_Men,1,89,89
TXN0294,2023-08-02,CUST794,Female,60,Sports,5,86,430
TXN0295,2024-05-02,CUST852,Female,41,Clothing_Women,1,91,91
TXN0296,2023-11-03,CUST776,Male,35,Kitchen_Utensils,1,66,66
TXN0297,2024-02-17,CUST471,Male,32,Clothing_Men,2,44,88
TXN0298,2023-04-27,CUST318,Male,61,Clothing_Women,2,33,66
TXN0299,2023-03-21,CUST991,Female,34,Kitchen_Utensils,5,52,260
TXN0300,2023-12-29,CUST607,Male,54,Clothing_Men,1,64,64
TXN0301,2022-02-13,CUST461,Female,18,Clothing_Women,3,55,165
TXN0302,2024-04-09,CUST922,Male,41,Clothing_Men,5,26,130
TXN0303,2023-05-07,CUST720,Female,56,Beauty,4,12,48
TXN0304,2023-12-06,CUST343,Male,21,Home_Decor,4,46,184
TXN0305,2022-06-24,CUST515,Female,49,Sports,2,131,262
TXN0306,2024-06-05,CUST075,Male,61,Home_Decor,5,66,330
TXN0307,2024-04-15,CUST678,Female,60,Kitchen_Utensils,1,65,65
TXN0308,2023-02-15,CUST928,Female,35,Clothing_Women,5,91,455
TXN0309,2023-09-10,CUST517,Female,47,Electronics,5,478,2390
TXN0310,2023-08-28,CUST453,Female,26,Sports,4,100,400
TXN0311,2023-08-07,CUST917,Female,57,Clothing_Women,3,33,99
TXN0312,2022-02-21,CUST041,Male,34,Electronics,1,852,852
TXN0313,2022-08-19,CUST598,Male,37,Clothing_Men,5,31,155
TXN0314,2022-05-30,CUST985,Female,19,Home_Decor,2,94,188
TXN0315,2022-03-26,CUST445,Female,53,Clothing_Women,4,50,200
TXN0316,2023-06-27,CUST349,Female,57,Beauty,2,40,80
TXN0317,2024-01-06,CUST631,Male,56,Sports,1,108,108
TXN0318,2022-07-09,CUST909,Male,26,Sports,3,120,360
TXN0319,2022-02-23,CUST464,Male,38,Clothing_Men,4,23,92
TXN0320,2024-03-22,CUST363,Male,64,Clothing_Women,1,28,28
TXN0321,2023-06-17,CUST344,Female,42,Sports,5,61,305
TXN0322,2023-09-01,CUST842,Female,47,Clothing_Women,5,35,175
TXN0323,2023-08-23,CUST119,Female,60,Beauty,3,14,42
TXN0324,2023-11-25,CUST258,Female,37,Home_Decor,2,72,144
TXN0325,2023-04-29,CUST234,Female,62,Kitchen_Utensils,5,50,250
TXN0326,2022-07-11,CUST189,Male,63,Kitchen_Utensils,2,44,88
TXN0327,2023-12-11,CUST507,Female,37,Clothing_Men,3,94,282
TXN0328,2023-06-26,CUST279,Male,50,Clothing_Men,2,85,170
TXN0329,2022-04-29,CUST488,Female,51,Books,5,11,55
TXN0330,2023-10-03,CUST642,Female,54,Clothing_Women,5,87,435
TXN0331,2023-10-29,CUST103,Female,59,Beauty,2,23,46
TXN0332,2022-05-24,CUST416,Male,53,Clothing_Men,1,54,54
TXN0333,2022-01-02,CUST729,Male,29,Electronics,3,775,2325
TXN0334,2022-01-30,CUST834,Female,56,Electronics,5,154,770
TXN0335,2022-12-22,CUST225,Female,57,Electronics,3,414,1242
TXN0336,2022-02-16,CUST321,Female,26,Clothing_Women,5,79,395
TXN0337,2022-03-05,CUST295,Female,27,Sports,5,106,530
TXN0338,2024-04-23,CUST210,Male,37,Electronics,1,706,706
TXN0339,2022-06-29,CUST181,Male,19,Clothing_Men,5,65,325
TXN0340,2022-11-08,CUST247,Male,41,Clothing_Men,4,58,232
TXN0341,2024-05-13,CUST068,Male,25,Home_Decor,3,24,72
TXN0342,2024-01-17,CUST864,Female,51,Clothing_Women,3,28,84
TXN0343,2022-01-26,CUST195,Male,52,Books,4,23,92
TXN0344,2022-06-22,CUST794,Female,60,Beauty,2,29,58
TXN0345,2023-05-19,CUST852,Female,41,Home_Decor,5,32,160
TXN0346,2023-04-13,CUST776,Male,35,Beauty,5,62,310
TXN0347,2023-05-19,CUST471,Male,32,Books,5,33,165
TXN0348,2022-11-20,CUST318,Male,61,Sports,3,163,489
TXN0349,2023-03-24,CUST991,Female,34,Beauty,1,60,60
TXN0350,2022-11-02,CUST607,Male,54,Electronics,3,563,1689
TXN0351,2022-03-07,CUST461,Female,18,Home_Decor,5,80,400
TXN0352,2023-07-30,CUST922,Male,41,Clothing_Men,3,54,162
TXN0353,2023-06-10,CUST720,Female,56,Clothing_Men,5,72,360
TXN0354,2024-02-29,CUST343,Male,21,Beauty,2,36,72
TXN0355,2022-08-28,CUST515,Female,49,Books,5,48,240
TXN0356,2022-05-06,CUST075,Male,61,Clothing_Men,5,63,315
TXN0357,2023-01-19,CUST678,Female,60,Clothing_Women,4,36,144
TXN0358,2023-11-28,CUST928,Female,35,Home_Decor,1,96,96
TXN0359,2022-02-05,CUST517,Female,47,Clothing_Women,4,76,304
TXN0360,2024-02-20,CUST453,Female,26,Sports,5,164,820
TXN0361,2022-06-01,CUST917,Female,57,Books,1,33,33
TXN0362,2024-04-24,CUST041,Male,34,Sports,5,157,785
TXN0363,2024-04-25,CUST598,Male,37,Clothing_Women,1,73,73
TXN0364,2023-07-29,CUST985,Female,19,Beauty,5,68,340
TXN0365,2022-08-01,CUST445,Female,53,Clothing_Men,2,33,66
TXN0366,2023-06-08,CUST349,Female,57,Beauty,3,48,144
TXN0367,2022-05-06,CUST631,Male,56,Books,1,49,49
TXN0368,2023-02-26,CUST909,Male,26,Kitchen_Utensils,1,34,34
TXN0369,2023-07-07,CUST464,Male,38,Home_Decor,3,97,291
TXN0370,2023-09-15,CUST363,Male,64,Electronics,4,846,3384
TXN0371,2022-04-25,CUST344,Female,42,Kitchen_Utensils,2,15,30
TXN0372,2024-01-05,CUST842,Female,47,Clothing_Women,4,43,172
TXN0373,2023-04-11,CUST119,Female,60,Books,1,38,38
TXN0374,2023-09-06,CUST258,Female,37,Kitchen_Utensils,1,84,84
TXN0375,2023-10-23,CUST234,Female,62,Books,2,34,68
TXN0376,2023-07-01,CUST189,Male,63,Books,5,12,60
TXN0377,2023-02-08,CUST507,Female,37,Home_Decor,4,86,344
TXN0378,2022-03-27,CUST279,Male,50,Clothing_Men,3,33,99
TXN0379,2024-05-08,CUST488,Female,51,Clothing_Men,5,25,125
TXN0380,2023-04-15,CUST642,Female,54,Home_Decor,3,96,288
TXN0381,2022-04-07,CUST103,Female,59,Beauty,5,34,170
TXN0382,2022-08-25,CUST416,Male,53,Electronics,2,216,432
TXN0383,2023-06-14,CUST729,Male,29,Electronics,2,976,1952
TXN0384,2023-04-02,CUST834,Female,56,Kitchen_Utensils,5,68,340
TXN0385,2023-07-09,CUST225,Female,57,Kitchen_Utensils,2,66,132
TXN0386,2022-07-18,CUST321,Female,26,Clothing_Women,2,48,96
TXN0387,2023-02-13,CUST295,Female,27,Home_Decor,4,46,184
TXN0388,2023-09-29,CUST210,Male,37,Books,5,24,120
TXN0389,2024-04-18,CUST181,Male,19,Kitchen_Utensils,5,56,280
TXN0390,2022-08-15,CUST247,Male,41,Electronics,1,395,395
